well_plate,r,alpha,nitrate_concentration,population
C09_28,1.5767139065856204,0.0011822854424614552,1000,6
C09_29,1.8690457450487201,0.0035458500183790645,1000,21
C09_3,1.3726125126012934,0.037247461528139354,5,30
C09_30,1.3652152711097731,5.79142915080279e-4,1000,30
C09_4,1.1676997758618772,0.0157373566740275,10,6
C09_5,1.2220020546094392,0.004938677283021448,10,21
C09_6,1.3563301049298184,0.027515858564320036,10,30
C09_7,1.263735668113071,0.01035898310268606,20,6
C09_8,1.3791387290344113,0.004324248540998795,20,21
C09_9,1.50469016790024,0.016906232893825184,20,30
C10_1,1.4936260891414772,0.0511379551811591,5,23
C10_10,1.358196249875564,0.007588225469269277,40,23
C10_11,1.591396958009602,0.011106206229221507,40,anc2
C10_12,1.4918937414814315,0.00800151881530363,40,3
C10_13,1.63825903847439,0.00731107225416753,60,23
C10_14,1.6065149200370747,0.00914605083931056,60,anc2
C10_15,1.4896059623165994,0.00561598726949544,60,3
C10_16,2.4147128121047117,0.008239933552224332,80,23
C10_17,2.3051587681056356,0.007699904659774081,80,anc2
C10_18,1.9280843894095026,0.007442342789674572,80,3
C10_19,2.3427805769220877,0.006271520623949049,100,23
C10_2,0.9930168922548748,0.0252777554169408,5,anc2
C10_20,2.13055216342431,0.0059703103583694985,100,anc2
C10_21,2.045853293446203,0.005698037706392863,100,3
C10_22,2.1155023369021384,0.003360061223474296,400,23
C10_23,1.6497719363046464,0.001909359533355573,400,anc2
C10_24,1.4646226732501435,0.0014316036948365117,400,3
C10_25,1.5459261531997501,0.001684908774499972,600,23
C10_26,1.5670587317261773,0.0018064799974521317,600,anc2
C10_27,1.6585543168465469,0.002168478946725367,600,3
C10_28,2.1768832730953975,0.0032183433439059556,1000,23
C10_29,1.711628744328056,0.0030322646877328683,1000,anc2
C10_3,1.6834933755788424,0.037069987145011724,5,3
C10_30,1.277290290818952,0.0010555398915301085,1000,3
C10_4,1.803761785567893,0.03693367643107652,10,23
C10_5,1.216276247730564,0.01734461242068373,10,anc2
C10_6,1.6052979904255376,0.029950824304694364,10,3
C10_7,1.5929683689609229,0.020052323962581487,20,23
C10_8,1.3781475812477897,0.018250014855324386,20,anc2
C10_9,2.041065945891,0.02479018252622459,20,3
C11_1,1.0187461421438102,0.026661451646453338,5,anc5
C11_10,1.3004807189515544,0.0057444348782099905,40,anc5
C11_11,1.7495471577194688,0.007151685100271273,40,17
C11_12,1.8002642733819962,0.013674648481682528,40,15
C11_13,1.54811291264855,0.005647751603480035,60,anc5
C11_14,1.9866429911243453,0.003977648783167256,60,17
C11_15,1.5953134636182789,0.007916225829079712,60,15
C11_16,2.197989352789471,0.009337582665521794,80,anc5
C11_17,1.7031492654666052,0.0022094320303921904,80,17
C11_18,2.1468732076800663,0.00876476886409475,80,15
C11_19,2.380311195186182,0.0070121605601140636,100,11
C11_2,1.4629946888677174,0.024993271266374364,5,17
C11_20,2.0509429423282772,0.003361577315160861,100,17
C11_21,1.9480291779169376,0.0050242055983038625,100,15
C11_22,1.9801332021960107,0.0037564312266817695,400,anc5
C11_23,1.9082905864060544,0.0019417239895348336,400,17
C11_24,1.6424166283971975,0.001777862636357268,400,15
C11_25,1.6477039086912606,0.0027023824462794233,600,anc5
C11_26,1.7274397424866965,0.0010822732782209382,600,17
C11_27,1.452658920475304,0.001135143985914188,600,15
C11_28,1.6970343429335089,0.002477993204130176,1000,anc5
C11_29,1.6055127117283658,0.0015076319295613786,1000,17
C11_3,0.4602388967256034,0.0056950653926051845,5,15
C11_30,1.3955582792569723,0.0012951122522285442,1000,15
C11_4,1.1698365167015745,0.017319826461363076,10,anc5
C11_5,1.197904770015662,0.012139341143883231,10,17
C11_6,1.1969437681426507,0.035980272774703184,10,15
C11_7,0.9157400037498689,0.0065085723685357946,20,anc5
C11_8,1.64109720622614,0.007341622549259358,20,17
C11_9,2.020240945160691,0.020340491473099992,20,15
D02_1,0.5793107851148612,1e-7,5,24
D02_10,0.7192371098002284,1e-7,40,24
D02_11,1.6115832257029432,0.010533651460219269,40,18
D02_12,1.4306621518085592,0.004427866715571008,40,29
D02_13,0.9563993178790905,1e-7,60,24
D02_14,1.542886834164617,0.009057378617330943,60,18
D02_15,1.7837692304943067,0.007149673814363013,60,29
D02_16,1.9102553002347173,0.004989007527048231,80,24
D02_17,1.9221166200353437,0.006984122031207656,80,18
D02_18,1.9728235903764582,0.005110087247043079,80,29
D02_19,2.0967318052999526,0.006632654476039106,100,24
D02_2,1.230781068969996,0.03705969237392416,5,18
D02_20,1.6546228070907878,0.003720717250543354,100,18
D02_21,1.7617078191275577,0.0024545959045632823,100,29
D02_22,1.6264523422672552,0.0021144680798805826,400,24
D02_23,1.6725274794607097,0.0022567867246303707,400,18
D02_24,1.9371667980264524,0.002072808196564504,400,29
D02_25,1.9228951264584055,0.002540834903541516,600,24
D02_26,2.0101382587355165,0.00164664838820904,600,18
D02_27,1.6186105134357753,0.0010427658050727526,600,29
D02_28,1.411050094418248,0.0012952551287586601,1000,24
D02_29,1.9480386757312673,0.0026389791566115966,1000,18
D02_3,1.637781845654773,0.042015946340726064,5,29
D02_30,1.6033758024076958,4.139583040842542e-4,1000,29
D02_4,0.8020477221373086,0.008328959840281832,10,24
D02_5,1.370475861760491,0.02542274051308117,10,18
D02_6,1.6638060689022318,0.019439149451860947,10,29
D02_7,0.7635823456200905,1e-7,20,24
D02_8,1.296512136969361,0.017937631537532046,20,18
D02_9,1.9280951798569201,0.014748544492147058,20,29
D03_1,1.430294832397463,0.00704348950489268,5,8
D03_10,1.1963984050855434,5.371861717873033e-4,40,8
D03_11,1.4907346928370004,0.008633607936384919,40,22
D03_12,1.2664699370871908,0.00995810589338406,40,20
D03_13,1.230917222739925,0.0013647933644822122,60,8
D03_14,1.633857907569534,0.009845285492989023,60,22
D03_15,1.4907219593652443,0.007431376970660058,60,20
D03_16,1.7947800725692518,0.0024952139204812342,80,8
D03_17,1.8868887440949855,0.006777145463282471,80,22
D03_18,1.545674479929026,0.005557002943538831,80,20
D03_19,1.8495944379903941,0.0026120206665667667,100,8
D03_2,1.439684016128299,0.05871299769670434,5,22
D03_20,1.8171994896221597,0.003864323598721774,100,22
D03_21,2.404428904581299,0.005981873073805352,100,20
D03_22,1.9162406365729023,0.003259389146680285,400,8
D03_23,2.1257879670827906,0.0038138453350272947,400,22
D03_24,1.6574758961864429,0.001917298565659504,400,20
D03_25,1.9513154331161457,0.0032264869285506706,600,8
D03_26,1.9511902567172987,0.0015838583311806975,600,22
D03_27,1.4902983370303182,0.0017911869155586553,600,20
D03_28,1.7655275679337634,0.0025185645103836295,1000,8
D03_29,1.9335612056796228,0.0026855991993543138,1000,22
D03_3,1.2130127205494445,0.0340877224960102,5,20
D03_30,1.9006051047075776,0.0017375976340902786,1000,20
D03_4,1.3615930062797512,0.0045041783187672844,10,8
D03_5,1.0799577488418495,0.021705028929676094,10,22
D03_6,1.151332183483538,0.024528061216520288,10,20
D03_7,1.362138170319972,0.0037669115179811393,20,8
D03_8,1.2253408069999425,0.019571719891996384,20,22
D03_9,1.1213393917323777,0.01682744130163112,20,20
D04_1,1.026403649353583,0.023316229002837214,5,19
D04_10,1.262327526307889,0.00537192762497348,40,19
D04_11,1.1977084524798784,0.004940209829177697,40,4
D04_12,1.2132862407308247,0.009056411874318939,40,anc4
D04_13,1.5273948456249031,0.007240450390184687,60,19
D04_14,1.7131699868432184,0.009646800736633597,60,4
D04_15,1.5313148776089507,0.007141314530894911,60,anc4
D04_16,1.6752314359681488,0.006350366837838067,80,19
D04_17,2.017667150071096,0.005970300231731469,80,4
D04_18,1.617035349138011,0.006370746617570934,80,anc4
D04_19,1.6703021063280015,0.005056461430928782,100,19
D04_2,0.68654454579791,0.004741322256807929,5,4
D04_20,1.6620743588527376,0.0036835212435510916,100,4
D04_21,1.7039982213811922,0.005430976362232082,100,anc4
D04_22,1.245287805866935,2.602147211553391e-4,400,19
D04_23,2.083334482481179,0.0026931453074141966,400,4
D04_24,1.7775061856731975,0.003177126067501468,400,anc4
D04_25,1.2509920530055907,2.0438150198284636e-4,600,19
D04_26,2.3412634177450875,0.0032790681046357024,600,4
D04_27,1.322100326009726,0.0014553842792512206,600,anc4
D04_28,1.2959670967989279,3.397881050243808e-4,1000,19
D04_29,1.6855462304004634,0.0022327520405191017,1000,4
D04_3,0.8820871216054734,0.026330476677237705,5,anc4
D04_30,1.4416080903016113,0.0023261780910463392,1000,anc4
D04_4,1.407958824200271,0.02757582011036819,10,19
D04_5,1.072702477780851,0.01795996626384332,10,4
D04_6,1.4650591530153443,0.0340168429330501,10,anc4
D04_7,0.9803662817214839,0.005133859770889885,20,19
D04_8,1.194468714708626,0.014653058199429869,20,4
D04_9,1.2691067640293927,0.019938684884396998,20,anc4
D05_1,1.9530056764584727,0.06190055936569918,5,33
D05_10,1.4283969866658635,0.007840921858301271,40,33
D05_11,1.482803975708313,0.009740435174683508,40,9
D05_12,1.2771556895840854,0.007449897426773821,40,10
D05_13,1.2475101476927866,0.004952698657574116,60,33
D05_14,1.3620384128347134,0.005563385246495214,60,9
D05_15,1.4193305367496423,0.00585437299842458,60,10
D05_16,1.7796191715331604,0.006543915950977626,80,33
D05_17,1.9912894700705863,0.007014432019343973,80,9
D05_18,1.4427688776728596,0.004865628150236432,80,10
D05_19,1.8805307056435216,0.005527830606838871,100,33
D05_2,1.6203780418887783,0.05095912540289557,5,9
D05_20,2.06353517193939,0.005558316498540351,100,9
D05_21,1.6530779879984194,0.005019378502849289,100,10
D05_22,1.6761045140894806,0.0025515475487910486,400,33
D05_23,1.893432635096472,0.0022980927308993517,400,9
D05_24,1.6448908947920584,0.0019806611517112567,400,10
D05_25,1.1398302945362329,2.9048917431039116e-4,600,33
D05_26,1.983988644522675,0.002090482633126967,600,9
D05_27,1.5430777971349405,0.0020207595574714713,600,10
D05_28,1.2770709633393842,4.4007330907424913e-4,1000,33
D05_29,1.7059887751144969,0.0029964826352006204,1000,9
D05_3,1.4308689294593577,0.038891306901962054,5,10
D05_30,1.2291405088460685,0.0011588424266326042,1000,10
D05_4,1.3513996112424271,0.02699494537995251,10,33
D05_5,1.1074608693381753,0.0215502091939372,10,9
D05_6,1.9753170224611718,0.046055912292371486,10,10
D05_7,1.3401564548572262,0.013895546434682982,20,33
D05_8,1.2971893470004394,0.022050302171765998,20,9
D05_9,1.0587703834380755,0.012721223548916036,20,10
D06_1,1.0593268656924282,0.02288008992602589,5,14
D06_10,1.1395381085481286,0.004240667632709728,40,14
D06_11,1.44425833487103,0.006364067462095344,40,31
D06_12,0.7728863171169774,1e-7,40,5
D06_13,1.3736132615932688,0.004978143914795234,60,14
D06_14,1.2607975185279532,0.004662746298711838,60,31
D06_15,0.9711665811688273,8.107820925248615e-4,60,5
D06_16,1.6895770441419142,0.006366600363541247,80,14
D06_17,1.7943796336541538,0.005668505257839244,80,31
D06_18,1.6718499912134515,0.007289716721350158,80,5
D06_19,1.7611925297875948,0.005305410005873336,100,14
D06_2,1.1946878995080124,0.025394571555090843,5,31
D06_20,1.5498816633231405,0.003892250925316946,100,31
D06_21,1.519566835015966,0.004946556001242399,100,5
D06_22,1.8593782399334775,0.003246975590820488,400,14
D06_23,1.8954441451879314,0.0023735540219663306,400,31
D06_24,1.2859631265878146,7.117346797099023e-4,400,30
D06_25,1.1918271202698354,4.13615430804811e-4,600,14
D06_26,1.3613291286396165,0.0011407920892085326,600,31
D06_27,1.936673474249096,0.0025758101096188973,600,5
D06_28,1.463552780650069,0.0013063751347036129,1000,14
D06_29,1.4717802724215752,0.001592248458791399,1000,31
D06_3,0.5718935763179878,0.0067389644433953535,5,5
D06_30,1.1725955283740224,8.016818408812886e-4,1000,5
D06_4,1.1122834606795737,0.017263671973978677,10,14
D06_5,1.386029353360563,0.027142341963551343,10,31
D06_6,0.5592838956649901,0.0025174445506527072,10,5
D06_7,1.3526889047408521,0.012570313309969505,20,14
D06_8,1.2722227645527786,0.015732119217440627,20,31
D06_9,0.9333951543125973,0.006186251828879186,20,5
D07_1,1.228219157366314,0.03496622829033644,5,32
D07_10,1.2951811606531989,0.00662319136817842,40,32
D07_11,1.3740762954916232,0.00695322817662894,40,35
D07_12,1.3315891980814694,0.009685675673748343,40,anc3
D07_13,1.3057761927699494,0.003904507666924626,60,32
D07_14,1.405442263613469,0.0028912026007196193,60,35
D07_15,1.3858572836311842,0.006513694941074274,60,anc3
D07_16,1.7305157638098334,0.006798554920603983,80,32
D07_17,1.567092537551509,0.003060669147127895,80,35
D07_18,1.3971159670932973,0.004799663621042848,80,anc3
D07_19,2.125446197159173,0.006385352548507668,100,32
D07_2,1.2543735264418627,0.031174185451670312,5,35
D07_20,1.7840325760243978,0.004096195026018941,100,35
D07_21,1.5716707883997674,0.004915348256927249,100,anc3
D07_22,1.7773767651528167,0.002150495644999623,400,32
D07_23,1.8123357371317823,0.001979690388835732,400,35
D07_24,1.4506545900413967,0.0017704948597378355,400,anc3
D07_25,1.3766073271683603,6.322059737775995e-4,600,32
D07_26,1.531399034890224,0.0013440843379470288,600,35
D07_27,1.2416985253091322,8.283293683943939e-4,600,anc3
D07_28,1.452811134322669,0.001445016782401953,1000,32
D07_29,1.9162834655200442,0.0023066000887535815,1000,35
D07_3,1.2459901938202316,0.03155552065460869,5,anc3
D07_30,1.2408133928879415,8.271343473590424e-4,1000,anc3
D07_4,1.48106478315398,0.02822250565231071,10,32
D07_5,1.3445517587288778,0.02357756158888297,10,35
D07_6,1.9410798148579669,0.04546111885193001,10,anc3
D07_7,1.7434125179979347,0.017798438174912955,20,32
D07_8,1.4405813647367798,0.00976000535904975,20,35
D07_9,1.4199494706510953,0.017387837837328814,20,anc3
D08_1,0.5325594462386032,0.011124831405869175,5,32
D08_10,1.329831226969382,0.0063861712731579775,40,32
D08_11,1.4033004954872283,0.00584887596413963,40,35
D08_12,1.1259536062104123,0.006785855702713098,40,20
D08_13,1.3759345834015895,0.004428242944289733,60,32
D08_14,1.5708337661834428,0.0037371610886752353,60,35
D08_15,1.3991193518693403,0.005572827853185314,60,20
D08_16,1.7721077357101764,0.006749882034455066,80,32
D08_17,1.775476180350645,0.004278018388378396,80,35
D08_18,1.4141288312211566,0.004758084831140091,80,20
D08_19,1.8568074049234404,0.005450355518024634,100,32
D08_2,1.270775971938888,0.032278803369094757,5,35
D08_20,1.8340712207398224,0.004109419640912417,100,35
D08_21,2.2568051693267788,0.007824876892219038,100,20
D08_22,2.133477440034062,0.0033106850799060478,400,32
D08_23,1.7032189499232697,0.0016679609853647492,400,35
D08_24,1.131984258395331,2.9788628702482223e-4,400,20
D08_25,1.288279890515369,7.423536968980268e-4,600,32
D08_26,1.4681024501049966,0.001221781614477222,600,35
D08_27,1.5803355846827403,0.00206122135479965,600,20
D08_28,1.5214059032158527,0.0018316452851566294,1000,32
D08_29,1.7483834469857855,0.0023173163542316464,1000,35
D08_3,0.9923575478848337,0.0259018913848547,5,20
D08_30,1.3925869270673468,0.0012548859133862296,1000,20
D08_4,1.2675365723275893,0.022284875300111157,10,32
D08_5,1.4785706166593873,0.024680396725556934,10,35
D08_6,1.3496265673250427,0.027557061233230293,10,20
D08_7,1.3155968536048677,0.012961237229437901,20,32
D08_8,1.1282249378277875,0.002525948633984199,20,35
D08_9,1.2151247168859598,0.016699505932283774,20,20
D09_1,1.0286841354178953,0.026205682312117146,5,14
D09_10,1.411834946005097,0.005945932804808127,40,14
D09_11,1.1903217333437066,0.005550591496880326,40,31
D09_12,1.6343714457066487,0.009033956380988861,40,3
D09_13,1.5136670447437262,0.00503290172722692,60,14
D09_14,1.4380342506481347,0.008489754786773945,60,31
D09_15,1.3959729030045978,0.00558780721883827,60,3
D09_16,1.7739354579558444,0.006638112799551527,80,14
D09_17,2.3349136143594906,0.007573494743225145,80,31
D09_18,1.5682889598125498,0.005265526973409463,80,3
D09_19,1.874592617233748,0.005349427565202224,100,14
D09_2,1.354391114729893,0.02852041789214731,5,31
D09_20,1.864947534035109,0.005400706774424702,100,31
D09_21,1.7315072277853838,0.005383849081800973,100,3
D09_22,1.9448363869036989,0.003801784342233161,400,14
D09_23,2.007530864957459,0.0030770963396523307,400,31
D09_24,1.3332692243786552,0.0013247255507323496,400,3
D09_25,1.1838059157629477,3.277739606852666e-4,600,14
D09_26,1.376017353807612,0.001157734402639217,600,31
D09_27,1.2522177686818865,0.0010642031083722256,600,3
D09_28,1.423308155331297,0.0010618954527285853,1000,14
D09_29,1.6625471917773087,0.002264090731067032,1000,31
D09_3,1.3586195026176737,0.034814012739317744,5,3
D09_30,1.3246383195257811,8.959735910189377e-4,1000,3
D09_4,1.166679819815969,0.015215605565526725,10,14
D09_5,1.3408747611905705,0.02341305343365485,10,31
D09_6,1.6937134813491193,0.030419080548778725,10,3
D09_7,1.2114815910647783,0.010470037471371508,20,14
D09_8,1.1741880054914746,0.013257154441363942,20,31
D09_9,1.7071864135471755,0.021660814446596417,20,3
D10_1,1.0339986173948028,0.02514856959867792,5,19
D10_10,1.1736487209719697,0.002329410277471513,40,19
D10_11,1.1854369562942237,0.005838408031094305,40,4
D10_12,1.4030657302965637,0.006144405011905852,40,7
D10_13,2.1216160795393217,0.009703651983999093,60,19
D10_14,1.5130155783624966,0.009252850024713797,60,4
D10_15,1.1261733677082313,0.0030296435006961493,60,7
D10_16,1.7194129685708317,0.006606094085403032,80,19
D10_17,2.4695960274681594,0.010027678609111298,80,4
D10_18,1.7318342942048122,0.006930669678313003,80,7
D10_19,1.8884662701568082,0.005905643749180418,100,19
D10_2,0.5721290203026066,0.0033006264792705617,5,4
D10_20,1.8424899725130353,0.005636363070395012,100,4
D10_21,1.8415874921207527,0.00630056385200248,100,7
D10_22,1.5203516253617009,0.0017702577457371215,400,19
D10_23,1.9511616558233111,0.0028673462841371134,400,4
D10_24,1.211395994981836,5.966225882337231e-4,400,7
D10_25,1.4207485836793656,7.948985711456614e-4,600,19
D10_26,1.6415648070631674,0.0027199148465728816,600,4
D10_27,1.5988980594923974,0.0019535014945943957,600,7
D10_28,1.2890319874904275,4.8180612768785474e-4,1000,19
D10_29,1.469637471784313,0.001357698173267437,1000,4
D10_3,0.7579589310588497,0.011531841569980992,5,7
D10_30,1.253154902512826,0.0010380484897830984,1000,7
D10_4,0.9106427678329188,0.011896506174483748,10,19
D10_5,0.7339620474091927,0.005034601877631728,10,4
D10_6,1.165309158800205,0.01590983132981023,10,7
D10_7,1.138341515311036,0.007534456981228239,20,19
D10_8,1.363270782185937,0.012815868997717618,20,4
D10_9,1.3925537534775776,0.013999871992875055,20,7
D11_1,1.5548519579976259,0.052601721037909985,5,11
D11_10,1.612181434386162,0.008450908172271085,40,11
D11_11,0.7962876959058088,1e-7,40,27
D11_12,1.2702361039631345,0.00728735790911616,40,10
D11_13,1.6828047582553158,0.00682174999507448,60,11
D11_14,1.0709320189690963,1e-7,60,27
D11_15,1.5652423065468024,0.00665269176093956,60,10
D11_16,2.3344975602592086,0.00743014604375592,80,11
D11_17,2.3975331272088987,0.008300554379220717,80,27
D11_18,2.4035958546678313,0.0085789683541232,80,10
D11_19,1.7936372137656087,0.005405183982230561,100,anc5
D11_2,1.1116855979304912,0.020702573104593204,5,27
D11_20,1.5064575805604468,0.0032168208969771037,100,27
D11_21,2.346891631837162,0.008278012374856081,100,10
D11_22,2.121062620756665,0.005366060140341544,400,11
D11_23,2.216777941984091,0.004796962009261637,400,27
D11_24,1.3283325451398094,0.0012466383945893226,400,10
D11_25,1.491693622339368,0.0025012378989533106,600,11
D11_26,1.3806322554400972,0.0014709898849775283,600,27
D11_27,1.578276935940781,0.002517779169230337,600,10
D11_28,1.5941517340787175,0.002846114873299331,1000,11
D11_29,1.7501618596448203,0.0021296134252169418,1000,27
D11_3,0.7173425516068609,0.010045815067154962,5,10
D11_30,1.2889277878368608,0.0015625211306625987,1000,10
D11_4,1.3362927285916488,0.025534234273248885,10,11
D11_5,0.6243135570184565,1e-7,10,27
D11_6,1.2189837775756127,0.02307149580636317,10,10
D11_7,1.837348578744389,0.02296781497567913,20,11
D11_8,0.945855694153975,0.0020585169444684377,20,27
D11_9,1.1742915241006902,0.017699890854167014,20,10
E02_1,1.114687174286185,0.018823132745273433,5,1
E02_10,1.4252709194441067,0.006034331606568454,40,1
E02_11,1.1558946208543421,0.005867064995858374,40,26
E02_12,1.1716672094744993,0.008288432154505986,40,anc4
E02_13,1.4882530339621503,0.005647092237086317,60,1
E02_14,1.4855461297089692,0.008888286788424316,60,26
E02_15,1.4893186998906378,0.007395268320236824,60,anc4
E02_16,1.9706619972798405,0.00523216137094116,80,1
E02_17,2.1258550035475423,0.006580374576859138,80,26
E02_18,1.585190093987286,0.006271088337708108,80,anc4
E02_19,1.5691289699965474,0.004311574091064555,100,1
E02_2,1.2470527628380084,0.03208032464315417,5,26
E02_20,1.8664508892732152,0.0059649648711426455,100,26
E02_21,2.1943932970048596,0.007421900452379453,100,anc4
E02_22,1.4264480938272386,0.0016018147304491766,400,1
E02_23,2.0458968213610262,0.004016191190114957,400,26
E02_24,1.8644962659710866,0.0035313147370829192,400,anc4
E02_25,1.6963117941672234,0.001861833237841522,600,1
E02_26,2.09800427060752,0.002610528267871269,600,26
E02_27,2.1831141071738074,0.0034945135355374723,600,anc4
E02_28,1.307529966259938,0.00045491175797170125,1000,1
E02_29,1.8214837274591793,0.0020921472785845863,1000,26
E02_3,1.4081574733860234,0.04458992793968768,5,anc4
E02_30,2.064391804322828,0.0034483469630970432,1000,anc4
E02_4,1.1041162479717161,0.01546891475735982,10,1
E02_5,1.191623939330782,0.021810233575040035,10,26
E02_6,1.767402923829009,0.0483384957013849,10,anc4
E02_7,1.2416047962179022,0.01075999829481515,20,1
E02_8,1.5821191792186886,0.023746704757680048,20,26
E02_9,1.28044965218417,0.017209271852292506,20,anc4
E03_1,1.1010563443467247,0.019981608949783188,5,25
E03_10,1.407179655285884,0.006234282003175038,40,25
E03_11,1.4766280216399008,0.0067381836640343275,40,28
E03_12,1.250986119077611,0.003502398806988908,40,30
E03_13,1.419290644695958,0.004867034653738403,60,25
E03_14,1.5586832404961122,0.00684479344273081,60,28
E03_15,1.841733614684721,0.008241473429605586,60,30
E03_16,2.1181516868832224,0.0062574205549126415,80,25
E03_17,2.380811826730438,0.009312791564895501,80,28
E03_18,1.9750139694026672,0.009349873009597491,80,30
E03_19,1.759586952284905,0.004711451230411426,100,25
E03_2,0.8363272877162287,0.00866344481633892,5,28
E03_20,1.6762576679848036,0.001990142573953208,100,28
E03_21,2.1119460078273504,0.006626329565254554,100,30
E03_22,1.6303669965579284,0.003480952417656823,400,25
E03_23,1.97860237620939,0.0016954070914489382,400,28
E03_24,1.8914127084110366,0.002169034120935007,400,5
E03_25,1.6942932988095485,0.001784699609867525,600,25
E03_26,1.869927529046432,0.0014562184276835828,600,28
E03_27,1.3070033944201802,7.768775207620702e-4,600,30
E03_28,1.3292220581549414,3.319664770285241e-4,1000,25
E03_29,1.8276445239602606,0.0019280611212815215,1000,28
E03_3,1.7835748690134088,0.060124088375555815,5,30
E03_30,1.218367972694847,1.0914450434292472e-4,1000,30
E03_4,1.558649966771749,0.02530914550465297,10,25
E03_5,1.7146874875722988,0.03729281602824486,10,28
E03_6,1.7183807441373518,0.025286210999631357,10,30
E03_7,1.5329245553353776,0.015552021493839397,20,25
E03_8,0.9316610115983818,1e-7,20,28
E03_9,1.2934726308052138,0.009669075253149794,20,30
E04_11,1.5246894091573748,0.00957840572286837,40,2
E04_12,1.3627022131725843,0.011211226377887707,40,16
E04_14,2.0003495482722995,0.01182047274229544,60,2
E04_15,1.5059955453314857,0.0067986438442531535,60,16
E04_17,2.0501905366430266,0.006481452230525361,80,2
E04_18,1.491717325682718,0.005169669210298126,80,16
E04_2,0.694932243002975,0.009968046937045179,5,2
E04_20,1.9689862771364148,0.005765961012087775,100,2
E04_21,2.3734334139656568,0.008095767587013865,100,16
E04_23,2.3276451386205377,0.005208518557229749,400,2
E04_24,1.7506135711876454,0.0024023330243700884,400,16
E04_26,2.356602915610062,0.003495985829486526,600,2
E04_27,1.607646905399478,0.0020393514959759014,600,16
E04_29,1.865995618812518,0.0024552899483530153,1000,2
E04_3,1.0830334221273366,0.031666595994605966,5,16
E04_30,1.6787696334164153,0.003033489061006681,1000,16
E04_5,1.0754884510750577,0.02205100318816349,10,2
E04_6,1.9002908589342213,0.04275761424384749,10,16
E04_8,1.180605846600874,0.017613039002500507,20,2
E04_9,1.4169197833176224,0.023944277861481438,20,16
E05_1,1.3334833938015642,0.04161082136155332,5,23
E05_10,1.4999977455150053,0.008145604685530055,40,23
E05_11,1.764492876909835,0.011331563135267685,40,anc2
E05_12,1.5939691543447543,0.012935839178791283,40,cc1690
E05_13,1.513703427124211,0.006042855282913372,60,23
E05_14,1.414518468022953,0.005965599380225779,60,anc2
E05_15,1.6383859236553968,0.007270868840741082,60,cc1690
E05_16,2.205693944942063,0.006160649256847474,80,23
E05_17,2.1418108594799277,0.007536763449944911,80,anc2
E05_18,1.5323800740473768,0.005333491455804169,80,cc1690
E05_19,1.9012080215837481,0.005461677528523764,100,23
E05_2,1.256064165469596,0.03342923302733764,5,anc2
E05_20,2.232070018005531,0.006657798955157871,100,anc2
E05_21,2.1272324861444845,0.007125168048485448,100,cc1690
E05_22,1.3532145175520027,0.0012504572417458787,400,23
E05_23,1.5903645406780333,0.0017388198031452037,400,anc2
E05_24,1.5781848960013038,0.0018315463254878668,400,cc1690
E05_25,1.3731834269324323,0.0019086711482902141,600,23
E05_26,1.654454741229658,0.002190251360195513,600,anc2
E05_27,1.399568444756163,0.0013303810548835418,600,cc1690
E05_28,1.5862159897087338,0.0020448898670572604,1000,23
E05_29,1.7775234400884807,0.003027836048527986,1000,anc2
E05_3,1.1332133154439747,0.031137958873586915,5,cc1690
E05_30,1.5252506565811585,0.002382839801391341,1000,cc1690
E05_4,1.481617784882491,0.0309320575240676,10,23
E05_5,1.1403734207877818,0.018535868886932417,10,anc2
E05_6,1.5120103666535987,0.03670215451021134,10,cc1690
E05_7,1.6419632261312387,0.022749120970951657,20,23
E05_8,1.3672301333340016,0.014589702665960342,20,anc2
E05_9,1.8471052340712188,0.03590781565831343,20,cc1690
E06_1,0.6859512196305682,0.005396114509747692,5,24
E06_10,0.849778217467388,1e-7,40,24
E06_11,1.405689134929364,0.0064999240968785016,40,18
E06_12,1.3275805308003696,0.0036578701511799133,40,29
E06_13,0.8483038339969723,1e-7,60,24
E06_14,1.299199442438193,0.0063967180791002914,60,18
E06_15,1.799500315774492,0.009519814861056472,60,29
E06_16,2.1938806219430704,0.005684810519927184,80,24
E06_17,2.265655529995525,0.008240376540840309,80,18
E06_18,1.5931849614551958,0.004991609117847955,80,29
E06_19,1.961053352473247,0.005932020670671394,100,24
E06_2,1.4346604379012247,0.03355191754147667,5,18
E06_20,2.152686797797615,0.0067055830899183325,100,18
E06_21,1.9675428971137485,0.004506348839118352,100,29
E06_22,1.7788308751009434,0.0025315281757444744,400,24
E06_23,1.8098263907523846,0.0022862828078295187,400,18
E06_24,1.6995077342782658,0.001990942021140108,400,29
E06_25,1.373853214847378,8.730467187714016e-4,600,24
E06_26,1.57395300851546,0.0024289596830656536,600,18
E06_27,1.4366460624402013,7.727986914089496e-4,600,29
E06_28,1.5562373626322306,0.001370012490046998,1000,24
E06_29,1.7982636250157182,0.0028478744396794823,1000,18
E06_3,1.9180396585621886,0.059015113157764074,5,29
E06_30,1.4399049450365535,0.0013536860875372927,1000,29
E06_4,0.7729709789433636,0.0013096057426387785,10,24
E06_5,1.3213723463808729,0.022416624742727747,10,18
E06_6,1.291801306780459,0.011216242208606576,10,29
E06_7,0.6940758731734289,1e-7,20,24
E06_8,1.263984361140176,0.01697435475618159,20,18
E06_9,1.8469005635457743,0.012369783793870012,20,29
